Team,Opponent,Home/Away,Possession,Fouls,Yellow Cards,Red Cards,Passes,Shots,On Target,Goals,Allowed,Result,Team SPI,Opponent SPI,SPI Difference,Team xG,Opponent xG,Team nsxG,Opponent nsxG,Total Generated,Total Conceded
Everton,Spurs,Away,38.5,13,4,0,367,4,0,0,2,L,64.26,80.73,-16.47,0.49,3.16,0.23,2.05,0.72,5.21
Aston Villa,Chelsea,Home,41.1,12,0,0,353,18,7,0,2,L,72.59,84.03,-11.44,2.31,1.16,1.33,0.84,3.64,2
Chelsea,Aston Villa,Away,58.9,11,3,0,548,8,4,2,0,W,84.03,72.59,11.44,1.16,2.31,0.84,1.33,2,3.64
Southampton,West Ham,Home,39.1,7,1,0,323,10,8,1,1,D,62.66,72.68,-10.02,0.51,1.82,0.57,1.43,1.08,3.25
West Ham,Southampton,Away,60.9,3,1,0,488,25,4,1,1,D,72.68,62.66,10.02,1.82,0.51,1.43,0.57,3.25,1.08
Leeds,Arsenal,Home,47,10,0,0,428,16,4,0,1,L,63.75,83.54,-19.79,2.14,0.79,1.27,0.77,3.41,1.56
Arsenal,Leeds,Away,53,11,2,0,500,9,4,1,0,W,83.54,63.75,19.79,0.79,2.14,0.77,1.27,1.56,3.41
Manchester United,Newcastle,Home,63,13,3,0,512,15,2,0,0,D,77.1,75.6,1.5,1.41,0.85,1.64,1.33,3.05,2.18
Newcastle,Manchester United,Away,37,11,1,0,301,9,2,0,0,D,75.6,77.1,-1.5,0.85,1.41,1.33,1.64,2.18,3.05
Liverpool,Manchester City,Home,36.8,10,3,0,407,13,2,1,0,W,88.56,93.1,-4.54,2.22,1.11,0.87,2.29,3.09,3.4
Manchester City,Liverpool,Away,63.2,7,1,0,702,16,6,0,1,L,93.1,88.56,4.54,1.11,2.22,2.29,0.87,3.4,3.09
Brighton,Nottingham,Home,70.3,10,3,0,623,19,7,0,0,D,76.82,54.47,22.35,2.1,0.15,2.23,0.23,4.33,0.38
Nottingham,Brighton,Away,29.7,14,1,0,260,3,0,0,0,D,54.47,76.82,-22.35,0.15,2.1,0.23,2.23,0.38,4.33
Crystal Palace,Wolves,Home,51.3,14,3,0,449,14,4,2,1,W,69.64,66.05,3.59,1.44,0.9,1.46,1,2.9,1.9
Wolves,Crystal Palace,Away,48.7,18,1,0,428,10,4,1,2,L,66.05,69.64,-3.59,0.9,1.44,1,1.46,1.9,2.9
Bournemouth,Southampton,Home,53.5,8,1,0,529,15,3,0,1,L,55.57,61.9,-6.33,1,1.08,2.26,1.08,3.26,2.16
Southampton,Bournemouth,Away,46.5,13,3,0,464,9,3,1,0,W,61.9,55.57,6.33,1.08,1,1.08,2.26,2.16,3.26
Liverpool,West Ham,Home,53.8,9,0,0,600,22,7,1,0,W,88.82,73.54,15.28,2.35,2.54,1.37,0.89,3.72,3.43
West Ham,Liverpool,Away,46.2,8,0,0,510,8,3,0,1,L,73.54,88.82,-15.28,2.54,2.35,0.89,1.37,3.43,3.72
Newcastle,Everton,Home,49.8,9,2,0,392,16,4,1,0,W,75.89,63.43,12.46,1.15,0.1,1.61,0.56,2.76,0.66
Everton,Newcastle,Away,50.2,12,4,0,412,1,0,0,1,L,63.43,75.89,-12.46,0.1,1.15,0.56,1.61,0.66,2.76
Brentford,Chelsea,Home,33.7,7,0,0,317,8,5,0,0,D,68.29,83.67,-15.38,1.27,0.56,1.24,2,2.51,2.56
Chelsea,Brentford,Away,66.3,7,0,0,656,14,5,0,0,D,83.67,68.29,15.38,0.56,1.27,2,1.24,2.56,2.51
Manchester United,Spurs,Home,51.9,7,1,0,583,28,10,2,0,W,77.12,81.52,-4.4,1.72,0.9,2.2,1.18,3.92,2.08
Spurs,Manchester United,Away,48.1,7,0,0,528,9,2,0,2,L,81.52,77.12,4.4,0.9,1.72,1.18,2.2,2.08,3.92
Fulham,Aston Villa,Home,60.4,11,0,0,482,18,8,3,0,W,57.65,73.01,-15.36,2.95,0.79,1.12,1.14,4.07,1.93
Aston Villa,Fulham,Away,39.6,11,2,1,311,12,6,0,3,L,73.01,57.65,15.36,0.79,2.95,1.14,1.12,1.93,4.07
Leicester,Leeds,Home,46.8,15,2,0,461,5,1,2,0,W,67.12,64.88,2.24,0.62,1.09,0.56,1,1.18,2.09
Leeds,Leicester,Away,53.2,11,1,0,518,14,2,0,2,L,64.88,67.12,-2.24,1.09,0.62,1,0.56,2.09,1.18
Nottingham,Liverpool,Home,24.8,14,2,0,227,10,7,1,0,W,54.34,88.2,-33.86,2.72,2.56,0.7,2.48,3.42,5.04
Liverpool,Nottingham,Away,75.2,8,1,0,691,15,7,0,1,L,88.2,54.34,33.86,2.56,2.72,2.48,0.7,5.04,3.42
Everton,Crystal Palace,Home,45.8,16,3,0,382,9,6,3,0,W,63.24,69.88,-6.64,1.66,0.72,0.89,0.8,2.55,1.52
Crystal Palace,Everton,Away,54.2,14,4,0,456,9,2,0,3,L,69.88,63.24,6.64,0.72,1.66,0.8,0.89,1.52,2.55
Manchester City,Brighton,Home,48.4,11,1,0,446,10,4,3,1,W,92.97,77.37,15.6,1.98,0.54,1.72,0.77,3.7,1.31
Brighton,Manchester City,Away,51.6,12,3,0,471,8,2,1,3,L,77.37,92.97,-15.6,0.54,1.98,0.77,1.72,1.31,3.7
Chelsea,Manchester United,Home,47.9,8,1,0,414,6,2,1,1,D,83.41,78.28,5.13,1.37,0.78,0.83,1.11,2.2,1.89
Manchester United,Chelsea,Away,52.1,10,4,0,464,13,6,1,1,D,78.28,83.41,-5.13,0.78,1.37,1.11,0.83,1.89,2.2
Aston Villa,Brentford,Home,45.1,14,1,0,329,19,11,4,0,W,70.96,68.99,1.97,3.75,1.19,1.3,0.75,5.05,1.94
Brentford,Aston Villa,Away,54.9,11,0,0,397,12,3,0,4,L,68.99,70.96,-1.97,1.19,3.75,0.75,1.3,1.94,5.05
Leeds,Fulham,Home,57.2,12,1,0,488,14,5,2,3,L,65.1,59.78,5.32,2.01,2.65,1.65,1.47,3.66,4.12
Fulham,Leeds,Away,42.8,8,1,0,355,11,5,3,2,W,59.78,65.1,-5.32,2.65,2.01,1.47,1.65,4.12,3.66
Southampton,Arsenal,Home,40.7,11,2,0,358,10,3,1,1,D,61.97,83.77,-21.8,0.58,1.7,0.74,1.22,1.32,2.92
Arsenal,Southampton,Away,59.3,8,1,0,541,12,3,1,1,D,83.77,61.97,21.8,1.7,0.58,1.22,0.74,2.92,1.32
Wolves,Leicester,Home,60.9,10,2,0,537,21,6,0,4,L,65.6,67.32,-1.72,1.92,1,2.12,0.83,4.04,1.83
Leicester,Wolves,Away,39.1,12,1,0,347,5,4,4,0,W,67.32,65.6,1.72,1,1.92,0.83,2.12,1.83,4.04
Spurs,Newcastle,Home,52.4,12,4,0,457,17,5,1,2,L,80.52,76.45,4.07,2.2,1.03,1.69,1.8,3.89,2.83
Newcastle,Spurs,Away,47.6,6,2,0,409,13,5,2,1,W,76.45,80.52,-4.07,1.03,2.2,1.8,1.69,2.83,3.89
West Ham,Bournemouth,Home,54.4,9,0,0,497,20,4,2,0,W,74.5,55.68,18.82,2,0.49,1.48,0.95,3.48,1.44
Bournemouth,West Ham,Away,45.6,11,2,0,432,5,3,0,2,L,55.68,74.5,-18.82,0.49,2,0.95,1.48,1.44,3.48
Leicester,Manchester City,Home,35,5,0,0,370,10,5,0,1,L,67.99,92.91,-24.92,0.78,0.83,0.67,2.15,1.45,2.98
Manchester City,Leicester,Away,65,10,0,0,687,15,5,1,0,W,92.91,67.99,24.92,0.83,0.78,2.15,0.67,2.98,1.45
Bournemouth,Spurs,Home,31.4,9,1,0,285,5,3,2,3,L,55.35,79.92,-24.57,0.9,2.59,0.84,2.4,1.74,4.99
Spurs,Bournemouth,Away,68.6,5,2,0,594,23,7,3,2,W,79.92,55.35,24.57,2.59,0.9,2.4,0.84,4.99,1.74
Newcastle,Aston Villa,Home,60,11,1,0,494,18,7,4,0,W,76.98,72.9,4.08,4.08,0.31,2.03,0.45,6.11,0.76
Aston Villa,Newcastle,Away,40,10,1,0,331,3,0,0,4,L,72.9,76.98,-4.08,0.31,4.08,0.45,2.03,0.76,6.11
Crystal Palace,Southampton,Home,44.7,13,3,0,392,12,3,1,0,W,68.49,62.31,6.18,1.05,1.34,1,1.52,2.05,2.86
Southampton,Crystal Palace,Away,55.3,11,3,0,478,14,4,0,1,L,62.31,68.49,-6.18,1.34,1.05,1.52,1,2.86,2.05
Brighton,Chelsea,Home,40.6,16,1,0,331,19,9,4,1,W,77.49,83.75,-6.26,2.32,1.16,1.14,1.59,3.46,2.75
Chelsea,Brighton,Away,59.4,6,2,0,496,15,7,1,4,L,83.75,77.49,6.26,1.16,2.32,1.59,1.14,2.75,3.46
Brentford,Wolves,Home,58.6,10,3,0,414,11,3,1,1,D,66.48,64.62,1.86,1.36,0.65,1.42,0.81,2.78,1.46
Wolves,Brentford,Away,41.4,17,3,1,290,14,4,1,1,D,64.62,66.48,-1.86,0.65,1.36,0.81,1.42,1.46,2.78
Fulham,Everton,Home,56.7,10,2,0,454,24,6,0,0,D,60.57,64.69,-4.12,2.17,1.15,2.37,0.84,4.54,1.99
Everton,Fulham,Away,43.3,8,1,0,360,9,4,0,0,D,64.69,60.57,4.12,1.15,2.17,0.84,2.37,1.99,4.54
Liverpool,Leeds,Home,69.1,9,0,0,672,22,10,1,2,L,87.61,63.74,23.87,2.34,1.63,2.21,0.93,4.55,2.56
Leeds,Liverpool,Away,30.9,3,1,0,300,14,6,2,1,W,63.74,87.61,-23.87,1.63,2.34,0.93,2.21,2.56,4.55
Arsenal,Nottingham,Home,69.4,9,0,0,613,24,10,5,0,W,83.5,56.08,27.42,3,0.26,3.39,0.43,6.39,0.69
Nottingham,Arsenal,Away,30.6,8,1,0,269,5,2,0,5,L,56.08,83.5,-27.42,0.26,3,0.43,3.39,0.69,6.39
Manchester United,West Ham,Home,53,12,1,0,482,16,3,1,0,W,80.47,75.02,5.45,1.7,1.12,1.68,0.9,3.38,2.02
West Ham,Manchester United,Away,47,10,3,0,407,11,3,0,1,L,75.02,80.47,-5.45,1.12,1.7,0.9,1.68,2.02,3.38
Everton,Leicester,Home,48.4,9,0,0,482,12,2,0,2,L,64.01,68.4,-4.39,1.47,2.19,2.27,1.89,3.74,4.08
Leicester,Everton,Away,51.6,5,0,0,710,22,8,2,0,W,68.4,64.01,4.39,2.19,1.47,1.89,2.27,4.08,3.74
Wolves,Brighton,Home,28.6,15,2,1,256,8,5,2,3,L,64.61,78.69,-14.08,1.32,2.05,0.35,2.8,1.67,4.85
Brighton,Wolves,Away,71.4,11,0,0,653,19,8,3,2,W,78.69,64.61,14.08,2.05,1.32,2.8,0.35,4.85,1.67
Nottingham,Brentford,Home,47.2,10,2,0,419,15,7,2,2,D,53.95,66.69,-12.74,1.42,1.22,1.55,1.15,2.97,2.37
Brentford,Nottingham,Away,52.8,11,2,0,477,6,2,2,2,D,66.69,53.95,12.74,1.22,1.42,1.15,1.55,2.37,2.97
Manchester City,Fulham,Home,70.6,6,2,1,717,16,5,2,1,W,92.84,61.51,31.33,2.4,0.86,2.1,0.28,4.5,1.14
Fulham,Manchester City,Away,29.4,11,4,0,295,4,2,1,2,L,61.51,92.84,-31.33,0.86,2.4,0.28,2.1,1.14,4.5
Leeds,Bournemouth,Home,60.9,16,2,0,443,18,4,4,3,W,65.27,54.99,10.28,2.25,1.68,1.72,0.89,3.97,2.57
Bournemouth,Leeds,Away,39.1,10,2,0,290,9,6,3,4,L,54.99,65.27,-10.28,1.68,2.25,0.89,1.72,2.57,3.97
Spurs,Liverpool,Home,46.6,10,0,0,518,14,5,1,2,L,79.77,86.94,-7.17,2.14,1.54,1.62,0.9,3.76,2.44
Liverpool,Spurs,Away,53.4,8,0,0,616,13,6,2,1,W,86.94,79.77,7.17,1.54,2.14,0.9,1.62,2.44,3.76
West Ham,Crystal Palace,Home,42,10,1,0,419,5,2,1,2,L,76.21,68.18,8.03,0.28,1.02,0.62,1.27,0.9,2.29
Crystal Palace,West Ham,Away,58,7,1,0,591,15,6,2,1,W,68.18,76.21,-8.03,1.02,0.28,1.27,0.62,2.29,0.9
Southampton,Newcastle,Home,55.2,7,1,0,468,16,5,1,4,L,62.85,79.29,-16.44,1.75,1.46,1.49,0.74,3.24,2.2
Newcastle,Southampton,Away,44.8,10,0,0,380,7,4,4,1,W,79.29,62.85,16.44,1.46,1.75,0.74,1.49,2.2,3.24
Aston Villa,Manchester United,Home,41.8,6,3,0,401,6,4,3,1,W,69.99,80.66,-10.67,0.49,0.44,0.7,1.34,1.19,1.78
Manchester United,Aston Villa,Away,58.2,12,3,0,543,8,3,1,3,L,80.66,69.99,10.67,0.44,0.49,1.34,0.7,1.78,1.19
Chelsea,Arsenal,Home,44.3,19,5,0,360,5,1,0,1,L,82.62,84.05,-1.43,0.25,2.01,0.64,1.34,0.89,3.35
Arsenal,Chelsea,Away,55.7,13,2,0,452,14,2,1,0,W,84.05,82.62,1.43,2.01,0.25,1.34,0.64,3.35,0.89
Manchester City,Brentford,Home,74.6,9,2,0,622,29,6,1,2,L,92.5,65.97,26.53,1.82,3.07,4.19,1.06,6.01,4.13
Brentford,Manchester City,Away,25.4,7,2,0,216,10,8,2,1,W,65.97,92.5,-26.53,3.07,1.82,1.06,4.19,4.13,6.01
Bournemouth,Everton,Home,35.8,12,2,0,305,16,9,3,0,W,54.63,63.09,-8.46,2.44,0.98,1.58,1.18,4.02,2.16
Everton,Bournemouth,Away,64.2,8,0,0,542,15,3,0,3,L,63.09,54.63,8.46,0.98,2.44,1.18,1.58,2.16,4.02
Liverpool,Southampton,Home,59.9,8,0,0,670,15,7,3,1,W,86.76,62.91,23.85,3.33,1.44,2.5,1.42,5.83,2.86
Southampton,Liverpool,Away,40.1,8,2,0,445,9,5,1,3,L,62.91,86.76,-23.85,1.44,3.33,1.42,2.5,2.86,5.83
Nottingham,Crystal Palace,Home,31.5,11,1,0,284,9,2,1,0,W,54.44,69.87,-15.43,1.16,1.15,0.7,0.6,1.86,1.75
Crystal Palace,Nottingham,Away,68.5,13,4,0,633,8,0,0,1,L,69.87,54.44,15.43,1.15,1.16,0.6,0.7,1.75,1.86
Spurs,Leeds,Home,54.7,8,1,0,545,14,8,4,3,W,80.05,64.67,15.38,2.6,1.64,1.27,0.82,3.87,2.46
Leeds,Spurs,Away,45.3,7,1,1,464,12,5,3,4,L,64.67,80.05,-15.38,1.64,2.6,0.82,1.27,2.46,3.87
West Ham,Leicester,Home,53.6,9,3,0,483,18,6,0,2,L,74.69,69.06,5.63,1.05,1.43,1.4,0.67,2.45,2.1
Leicester,West Ham,Away,46.4,8,1,0,422,9,6,2,0,W,69.06,74.69,-5.63,1.43,1.05,0.67,1.4,2.1,2.45
Newcastle,Chelsea,Home,48.9,14,4,0,451,10,3,1,0,W,79.02,81.49,-2.47,1.52,0.35,1.29,0.59,2.81,0.94
Chelsea,Newcastle,Away,51.1,11,2,0,471,5,2,0,1,L,81.49,79.02,2.47,0.35,1.52,0.59,1.29,0.94,2.81
Wolves,Arsenal,Home,37.4,5,3,0,348,11,2,0,2,L,63.49,85.27,-21.78,0.43,1.94,0.51,1.16,0.94,3.1
Arsenal,Wolves,Away,62.6,6,2,0,579,14,4,2,0,W,85.27,63.49,21.78,1.94,0.43,1.16,0.51,3.1,0.94
Brighton,Aston Villa,Home,65.1,14,2,0,526,7,2,1,2,L,79.21,71.02,8.19,0.96,1.14,1.17,0.83,2.13,1.97
Aston Villa,Brighton,Away,34.9,11,7,0,293,8,2,2,1,W,71.02,79.21,-8.19,1.14,0.96,0.83,1.17,1.97,2.13
Fulham,Manchester United,Home,52.7,9,1,0,461,14,7,1,2,L,62.38,79.85,-17.47,1.75,3.5,0.97,1.61,2.72,5.11
Manchester United,Fulham,Away,47.3,10,1,0,433,14,9,2,1,W,79.85,62.38,17.47,3.5,1.75,1.61,0.97,5.11,2.72
