Start,Team,Games,Wins,Draws,Losses,Points,No,Scored,Against,End
[15, 'Crystal Palace',38,10,12,16,42, nan,36,44, -8]
[12, 'Crystal Palace',38,12,11,15,47, nan,38,41, -3]
[11, 'Crystal Palace',38,12,15,11,51, nan,44,45, -1]
[11, 'Crystal Palace',38,13,14,11,53, nan,44,44, 0]
[12, 'Crystal Palace',38,13,13,12,52, nan,39,37, 2]
[9, 'Crystal Palace',38,14,13,11,55, nan,45,41, 4]
[10, 'Crystal Palace',38,13,12,13,51, nan,38,41, -3]
[12, 'Crystal Palace',38,13,10,15,49, nan,43,50, -7]
[11, 'Crystal Palace',38,11,15,12,48, nan,42,43, -1]
[11, 'Crystal Palace',38,11,15,12,48, nan,38,40, -2]
[9, 'Crystal Palace',38,15,12,11,57, nan,46,42, 4]
[10, 'Crystal Palace',38,14,9,15,51, nan,41,45, -4]
[10, 'Crystal Palace',38,12,12,14,48, nan,42,43, -1]
[13, 'Crystal Palace',38,12,10,16,46, nan,40,48, -8]
[9, 'Crystal Palace',38,14,9,15,51, nan,34,38, -4]
[10, 'Crystal Palace',38,13,13,12,52, nan,42,41, 1]
[9, 'Crystal Palace',38,14,11,13,53, nan,42,42, 0]
[9, 'Crystal Palace',38,14,13,11,55, nan,41,39, 2]
[13, 'Crystal Palace',38,12,10,16,46, nan,38,44, -6]
[12, 'Crystal Palace',38,13,9,16,48, nan,44,51, -7]
[14, 'Crystal Palace',38,11,11,16,44, nan,39,46, -7]
[9, 'Crystal Palace',38,13,16,9,55, nan,41,39, 2]
[11, 'Crystal Palace',38,13,13,12,52, nan,43,41, 2]
[15, 'Crystal Palace',38,10,12,16,42, nan,36,45, -9]
[14, 'Crystal Palace',38,11,12,15,45, nan,39,44, -5]
[12, 'Crystal Palace',38,10,15,13,45, nan,40,46, -6]
[12, 'Crystal Palace',38,12,12,14,48, nan,39,46, -7]
[9, 'Crystal Palace',38,14,11,13,53, nan,38,36, 2]
[14, 'Crystal Palace',38,7,16,15,37, nan,38,50, -12]
[12, 'Crystal Palace',38,13,9,16,48, nan,36,41, -5]
[9, 'Crystal Palace',38,11,16,11,49, nan,40,39, 1]
[8, 'Crystal Palace',38,16,13,9,61, nan,47,38, 9]
[11, 'Crystal Palace',38,13,12,13,51, nan,40,42, -2]
[11, 'Crystal Palace',38,9,20,9,47, nan,40,44, -4]
[12, 'Crystal Palace',38,12,11,15,47, nan,46,51, -5]
[12, 'Crystal Palace',38,10,13,15,43, nan,44,53, -9]
[8, 'Crystal Palace',38,14,12,12,54, nan,44,43, 1]
[13, 'Crystal Palace',38,12,13,13,49, nan,41,43, -2]
[10, 'Crystal Palace',38,14,12,12,54, nan,41,41, 0]
[10, 'Crystal Palace',38,14,12,12,54, nan,42,37, 5]
[11, 'Crystal Palace',38,10,17,11,47, nan,41,42, -1]
[9, 'Crystal Palace',38,16,9,13,57, nan,44,45, -1]
[11, 'Crystal Palace',38,11,15,12,48, nan,43,44, -1]
[10, 'Crystal Palace',38,16,9,13,57, nan,45,40, 5]
[10, 'Crystal Palace',38,13,11,14,50, nan,40,44, -4]
[15, 'Crystal Palace',38,10,10,18,40, nan,36,47, -11]
[16, 'Crystal Palace',38,9,13,16,40, nan,37,53, -16]
[13, 'Crystal Palace',38,12,12,14,48, nan,43,50, -7]
[9, 'Crystal Palace',38,16,10,12,58, nan,44,42, 2]
[14, 'Crystal Palace',38,10,11,17,41, nan,36,46, -10]
[10, 'Crystal Palace',38,14,11,13,53, nan,40,41, -1]
[7, 'Crystal Palace',38,17,10,11,61, nan,44,39, 5]
[11, 'Crystal Palace',38,12,15,11,51, nan,43,39, 4]
[8, 'Crystal Palace',38,15,10,13,55, nan,41,42, -1]
[13, 'Crystal Palace',38,9,15,14,42, nan,41,49, -8]
[11, 'Crystal Palace',38,11,17,10,50, nan,41,44, -3]
[12, 'Crystal Palace',38,11,12,15,45, nan,39,45, -6]
[10, 'Crystal Palace',38,12,13,13,49, nan,43,42, 1]
[13, 'Crystal Palace',38,11,12,15,45, nan,37,41, -4]
[15, 'Crystal Palace',38,9,12,17,39, nan,41,51, -10]
[12, 'Crystal Palace',38,14,7,17,49, nan,41,50, -9]
[11, 'Crystal Palace',38,14,10,14,52, nan,41,44, -3]
[11, 'Crystal Palace',38,12,11,15,47, nan,45,50, -5]
[8, 'Crystal Palace',38,14,14,10,56, nan,41,40, 1]
[12, 'Crystal Palace',38,13,11,14,50, nan,46,52, -6]
[9, 'Crystal Palace',38,15,10,13,55, nan,43,40, 3]
[13, 'Crystal Palace',38,11,11,16,44, nan,39,48, -9]
[11, 'Crystal Palace',38,13,10,15,49, nan,41,45, -4]
[9, 'Crystal Palace',38,16,8,14,56, nan,39,39, 0]
[9, 'Crystal Palace',38,13,13,12,52, nan,40,39, 1]
[10, 'Crystal Palace',38,12,16,10,52, nan,44,46, -2]
[13, 'Crystal Palace',38,10,14,14,44, nan,39,44, -5]
[10, 'Crystal Palace',38,15,8,15,53, nan,41,44, -3]
[11, 'Crystal Palace',38,12,13,13,49, nan,43,46, -3]
[14, 'Crystal Palace',38,11,11,16,44, nan,37,45, -8]
[7, 'Crystal Palace',38,15,12,11,57, nan,40,36, 4]
[12, 'Crystal Palace',38,11,14,13,47, nan,40,44, -4]
[13, 'Crystal Palace',38,11,12,15,45, nan,38,43, -5]
[12, 'Crystal Palace',38,13,10,15,49, nan,36,40, -4]
[7, 'Crystal Palace',38,17,10,11,61, nan,40,34, 6]
[9, 'Crystal Palace',38,16,11,11,59, nan,46,41, 5]
[14, 'Crystal Palace',38,9,15,14,42, nan,38,47, -9]
[10, 'Crystal Palace',38,12,13,13,49, nan,41,44, -3]
[13, 'Crystal Palace',38,12,13,13,49, nan,42,46, -4]
[9, 'Crystal Palace',38,16,11,11,59, nan,39,35, 4]
[11, 'Crystal Palace',38,12,12,14,48, nan,40,48, -8]
[14, 'Crystal Palace',38,10,11,17,41, nan,38,47, -9]
[11, 'Crystal Palace',38,12,13,13,49, nan,41,48, -7]
[14, 'Crystal Palace',38,11,12,15,45, nan,39,46, -7]
[12, 'Crystal Palace',38,11,11,16,44, nan,39,46, -7]
[13, 'Crystal Palace',38,10,13,15,43, nan,43,51, -8]
[11, 'Crystal Palace',38,11,14,13,47, nan,36,42, -6]
[13, 'Crystal Palace',38,10,13,15,43, nan,37,46, -9]
[12, 'Crystal Palace',38,12,13,13,49, nan,43,48, -5]
[12, 'Crystal Palace',38,11,13,14,46, nan,34,38, -4]
[14, 'Crystal Palace',38,10,11,17,41, nan,37,50, -13]
[13, 'Crystal Palace',38,9,15,14,42, nan,40,52, -12]
[15, 'Crystal Palace',38,12,8,18,44, nan,39,46, -7]
[13, 'Crystal Palace',38,11,11,16,44, nan,38,48, -10]
[10, 'Crystal Palace',38,12,12,14,48, nan,37,43, -6]
[13, 'Crystal Palace',38,11,13,14,46, nan,41,46, -5]
[10, 'Crystal Palace',38,14,12,12,54, nan,41,42, -1]
[10, 'Crystal Palace',38,13,12,13,51, nan,47,47, 0]
[11, 'Crystal Palace',38,15,7,16,52, nan,39,44, -5]
[11, 'Crystal Palace',38,13,13,12,52, nan,39,37, 2]
[13, 'Crystal Palace',38,11,12,15,45, nan,40,46, -6]
[17, 'Crystal Palace',38,8,10,20,34, nan,39,58, -19]
[15, 'Crystal Palace',38,10,8,20,38, nan,39,53, -14]
[12, 'Crystal Palace',38,12,12,14,48, nan,42,45, -3]
[9, 'Crystal Palace',38,15,11,12,56, nan,39,37, 2]
[13, 'Crystal Palace',38,10,13,15,43, nan,42,46, -4]
[10, 'Crystal Palace',38,14,12,12,54, nan,43,44, -1]
[14, 'Crystal Palace',38,12,9,17,45, nan,41,49, -8]
[8, 'Crystal Palace',38,17,8,13,59, nan,44,44, 0]
[11, 'Crystal Palace',38,14,9,15,51, nan,40,43, -3]
[9, 'Crystal Palace',38,14,13,11,55, nan,45,41, 4]
[10, 'Crystal Palace',38,15,9,14,54, nan,39,39, 0]
[9, 'Crystal Palace',38,13,13,12,52, nan,44,41, 3]
[12, 'Crystal Palace',38,14,8,16,50, nan,42,46, -4]
[12, 'Crystal Palace',38,12,9,17,45, nan,39,49, -10]
[12, 'Crystal Palace',38,12,10,16,46, nan,39,45, -6]
[16, 'Crystal Palace',38,8,11,19,35, nan,36,52, -16]
[13, 'Crystal Palace',38,12,10,16,46, nan,42,50, -8]
[9, 'Crystal Palace',38,14,13,11,55, nan,47,49, -2]
[9, 'Crystal Palace',38,17,9,12,60, nan,41,38, 3]
[12, 'Crystal Palace',38,12,12,14,48, nan,42,46, -4]
[15, 'Crystal Palace',38,8,16,14,40, nan,40,49, -9]
[8, 'Crystal Palace',38,17,9,12,60, nan,44,40, 4]
[10, 'Crystal Palace',38,12,12,14,48, nan,42,44, -2]
[16, 'Crystal Palace',38,9,14,15,41, nan,37,48, -11]
[10, 'Crystal Palace',38,12,14,12,50, nan,39,41, -2]
[11, 'Crystal Palace',38,12,15,11,51, nan,42,44, -2]
[13, 'Crystal Palace',38,11,12,15,45, nan,42,47, -5]
[10, 'Crystal Palace',38,12,14,12,50, nan,44,46, -2]
[9, 'Crystal Palace',38,16,8,14,56, nan,39,42, -3]
[14, 'Crystal Palace',38,10,10,18,40, nan,36,49, -13]
[14, 'Crystal Palace',38,10,13,15,43, nan,38,43, -5]
[13, 'Crystal Palace',38,10,13,15,43, nan,42,57, -15]
[11, 'Crystal Palace',38,13,10,15,49, nan,40,45, -5]
[12, 'Crystal Palace',38,11,12,15,45, nan,39,47, -8]
[13, 'Crystal Palace',38,11,15,12,48, nan,41,47, -6]
[7, 'Crystal Palace',38,14,15,9,57, nan,44,40, 4]
[14, 'Crystal Palace',38,10,13,15,43, nan,42,47, -5]
[12, 'Crystal Palace',38,11,14,13,47, nan,41,44, -3]
[13, 'Crystal Palace',38,12,8,18,44, nan,37,50, -13]
[12, 'Crystal Palace',38,10,15,13,45, nan,37,41, -4]
[10, 'Crystal Palace',38,14,11,13,53, nan,44,48, -4]
[12, 'Crystal Palace',38,12,10,16,46, nan,39,45, -6]
[16, 'Crystal Palace',38,8,13,17,37, nan,36,49, -13]
[9, 'Crystal Palace',38,12,15,11,51, nan,44,44, 0]
[12, 'Crystal Palace',38,12,11,15,47, nan,42,45, -3]
[9, 'Crystal Palace',38,15,12,11,57, nan,45,41, 4]
[11, 'Crystal Palace',38,12,14,12,50, nan,45,46, -1]
[16, 'Crystal Palace',38,9,15,14,42, nan,36,46, -10]
[11, 'Crystal Palace',38,12,11,15,47, nan,41,47, -6]
[17, 'Crystal Palace',38,9,9,20,36, nan,40,55, -15]
[14, 'Crystal Palace',38,9,13,16,40, nan,36,49, -13]
[10, 'Crystal Palace',38,15,9,14,54, nan,46,48, -2]
[7, 'Crystal Palace',38,19,9,10,66, nan,49,39, 10]
[5, 'Crystal Palace',38,20,8,10,68, nan,48,33, 15]
[16, 'Crystal Palace',38,8,12,18,36, nan,38,56, -18]
[9, 'Crystal Palace',38,14,12,12,54, nan,43,41, 2]
[12, 'Crystal Palace',38,10,15,13,45, nan,41,47, -6]
[10, 'Crystal Palace',38,14,12,12,54, nan,44,43, 1]
[13, 'Crystal Palace',38,11,11,16,44, nan,40,47, -7]
[10, 'Crystal Palace',38,11,15,12,48, nan,38,40, -2]
[9, 'Crystal Palace',38,15,8,15,53, nan,39,39, 0]
[13, 'Crystal Palace',38,12,12,14,48, nan,38,39, -1]
[10, 'Crystal Palace',38,12,16,10,52, nan,39,38, 1]
[11, 'Crystal Palace',38,12,12,14,48, nan,38,42, -4]
[6, 'Crystal Palace',38,19,9,10,66, nan,43,32, 11]
[9, 'Crystal Palace',38,13,13,12,52, nan,40,39, 1]
[12, 'Crystal Palace',38,10,15,13,45, nan,44,49, -5]
[14, 'Crystal Palace',38,11,11,16,44, nan,40,47, -7]
[11, 'Crystal Palace',38,12,12,14,48, nan,38,43, -5]
[10, 'Crystal Palace',38,14,11,13,53, nan,40,42, -2]
[14, 'Crystal Palace',38,12,9,17,45, nan,39,46, -7]
[11, 'Crystal Palace',38,12,11,15,47, nan,41,49, -8]
[14, 'Crystal Palace',38,9,15,14,42, nan,41,48, -7]
[9, 'Crystal Palace',38,14,12,12,54, nan,39,38, 1]
[9, 'Crystal Palace',38,15,12,11,57, nan,42,41, 1]
[10, 'Crystal Palace',38,11,17,10,50, nan,41,40, 1]
[12, 'Crystal Palace',38,12,10,16,46, nan,36,44, -8]
[14, 'Crystal Palace',38,10,11,17,41, nan,40,54, -14]
[12, 'Crystal Palace',38,12,13,13,49, nan,42,44, -2]
[14, 'Crystal Palace',38,11,9,18,42, nan,34,49, -15]
[14, 'Crystal Palace',38,8,16,14,40, nan,39,47, -8]
[9, 'Crystal Palace',38,15,15,8,60, nan,45,37, 8]
[11, 'Crystal Palace',38,13,9,16,48, nan,44,49, -5]
[9, 'Crystal Palace',38,13,16,9,55, nan,43,37, 6]
[14, 'Crystal Palace',38,9,16,13,43, nan,42,47, -5]
[11, 'Crystal Palace',38,13,12,13,51, nan,41,45, -4]
[10, 'Crystal Palace',38,14,10,14,52, nan,45,46, -1]
[7, 'Crystal Palace',38,13,18,7,57, nan,40,36, 4]
[15, 'Crystal Palace',38,10,11,17,41, nan,36,47, -11]
[11, 'Crystal Palace',38,13,12,13,51, nan,42,45, -3]
[13, 'Crystal Palace',38,11,12,15,45, nan,40,43, -3]
[16, 'Crystal Palace',38,7,13,18,34, nan,36,49, -13]
[9, 'Crystal Palace',38,14,14,10,56, nan,45,41, 4]
[10, 'Crystal Palace',38,13,12,13,51, nan,39,39, 0]
[12, 'Crystal Palace',38,13,10,15,49, nan,39,43, -4]
[10, 'Crystal Palace',38,14,10,14,52, nan,44,42, 2]
[10, 'Crystal Palace',38,12,13,13,49, nan,41,45, -4]
[12, 'Crystal Palace',38,11,13,14,46, nan,38,43, -5]
[11, 'Crystal Palace',38,13,14,11,53, nan,42,40, 2]
[13, 'Crystal Palace',38,11,11,16,44, nan,39,49, -10]
[12, 'Crystal Palace',38,10,14,14,44, nan,40,45, -5]
[14, 'Crystal Palace',38,10,15,13,45, nan,43,47, -4]
[7, 'Crystal Palace',38,16,12,10,60, nan,41,38, 3]
[10, 'Crystal Palace',38,11,16,11,49, nan,41,44, -3]
[13, 'Crystal Palace',38,11,10,17,43, nan,41,50, -9]
[14, 'Crystal Palace',38,11,12,15,45, nan,42,49, -7]
[10, 'Crystal Palace',38,14,14,10,56, nan,47,43, 4]
[10, 'Crystal Palace',38,12,13,13,49, nan,41,45, -4]
[11, 'Crystal Palace',38,11,13,14,46, nan,37,42, -5]
[10, 'Crystal Palace',38,14,9,15,51, nan,44,46, -2]
[13, 'Crystal Palace',38,12,11,15,47, nan,41,45, -4]
[14, 'Crystal Palace',38,9,17,12,44, nan,40,45, -5]
[4, 'Crystal Palace',38,20,9,9,69, nan,46,33, 13]
[11, 'Crystal Palace',38,14,10,14,52, nan,37,40, -3]
[15, 'Crystal Palace',38,11,9,18,42, nan,37,52, -15]
[11, 'Crystal Palace',38,11,13,14,46, nan,43,50, -7]
[9, 'Crystal Palace',38,15,9,14,54, nan,40,41, -1]
[11, 'Crystal Palace',38,13,12,13,51, nan,43,44, -1]
[9, 'Crystal Palace',38,16,9,13,57, nan,35,35, 0]
[9, 'Crystal Palace',38,15,13,10,58, nan,41,37, 4]
[8, 'Crystal Palace',38,15,13,10,58, nan,47,40, 7]
[9, 'Crystal Palace',38,14,14,10,56, nan,42,39, 3]
[13, 'Crystal Palace',38,11,13,14,46, nan,42,52, -10]
[6, 'Crystal Palace',38,17,9,12,60, nan,42,36, 6]
[11, 'Crystal Palace',38,13,12,13,51, nan,39,42, -3]
[9, 'Crystal Palace',38,14,10,14,52, nan,39,41, -2]
[10, 'Crystal Palace',38,14,11,13,53, nan,40,41, -1]
[12, 'Crystal Palace',38,11,15,12,48, nan,39,42, -3]
[7, 'Crystal Palace',38,15,10,13,55, nan,42,42, 0]
[9, 'Crystal Palace',38,14,15,9,57, nan,44,39, 5]
[9, 'Crystal Palace',38,12,11,15,47, nan,46,47, -1]
[9, 'Crystal Palace',38,14,13,11,55, nan,44,43, 1]
[13, 'Crystal Palace',38,11,14,13,47, nan,42,45, -3]
[9, 'Crystal Palace',38,11,15,12,48, nan,41,43, -2]
[12, 'Crystal Palace',38,11,11,16,44, nan,36,45, -9]
[12, 'Crystal Palace',38,11,14,13,47, nan,37,40, -3]
[13, 'Crystal Palace',38,11,10,17,43, nan,41,50, -9]
[11, 'Crystal Palace',38,11,14,13,47, nan,41,46, -5]
[9, 'Crystal Palace',38,15,10,13,55, nan,43,43, 0]
[10, 'Crystal Palace',38,14,11,13,53, nan,38,35, 3]
[11, 'Crystal Palace',38,13,13,12,52, nan,42,45, -3]
[13, 'Crystal Palace',38,11,12,15,45, nan,46,53, -7]
[9, 'Crystal Palace',38,14,14,10,56, nan,39,38, 1]
[9, 'Crystal Palace',38,13,11,14,50, nan,45,47, -2]
[12, 'Crystal Palace',38,13,11,14,50, nan,39,42, -3]
[13, 'Crystal Palace',38,10,12,16,42, nan,37,46, -9]
[12, 'Crystal Palace',38,11,13,14,46, nan,40,45, -5]
[11, 'Crystal Palace',38,13,11,14,50, nan,38,41, -3]
[11, 'Crystal Palace',38,14,8,16,50, nan,40,42, -2]
[13, 'Crystal Palace',38,11,14,13,47, nan,40,45, -5]
[10, 'Crystal Palace',38,11,12,15,45, nan,40,44, -4]
[12, 'Crystal Palace',38,13,10,15,49, nan,40,44, -4]
[12, 'Crystal Palace',38,10,14,14,44, nan,40,48, -8]
[11, 'Crystal Palace',38,14,9,15,51, nan,45,48, -3]
[10, 'Crystal Palace',38,10,16,12,46, nan,45,48, -3]
[11, 'Crystal Palace',38,13,10,15,49, nan,41,46, -5]
[11, 'Crystal Palace',38,13,11,14,50, nan,39,42, -3]
[8, 'Crystal Palace',38,14,14,10,56, nan,41,40, 1]
[11, 'Crystal Palace',38,10,12,16,42, nan,40,48, -8]
[13, 'Crystal Palace',38,9,17,12,44, nan,36,41, -5]
[10, 'Crystal Palace',38,13,10,15,49, nan,43,45, -2]
[13, 'Crystal Palace',38,12,10,16,46, nan,38,47, -9]
[13, 'Crystal Palace',38,13,10,15,49, nan,45,50, -5]
[12, 'Crystal Palace',38,11,14,13,47, nan,40,44, -4]
[10, 'Crystal Palace',38,13,15,10,54, nan,40,40, 0]
[8, 'Crystal Palace',38,16,11,11,59, nan,42,39, 3]
[11, 'Crystal Palace',38,12,13,13,49, nan,47,49, -2]
[14, 'Crystal Palace',38,9,14,15,41, nan,35,45, -10]
[11, 'Crystal Palace',38,13,13,12,52, nan,43,46, -3]
[8, 'Crystal Palace',38,16,11,11,59, nan,41,34, 7]
[9, 'Crystal Palace',38,14,11,13,53, nan,42,42, 0]
[9, 'Crystal Palace',38,15,10,13,55, nan,38,37, 1]
[9, 'Crystal Palace',38,15,13,10,58, nan,46,41, 5]
[14, 'Crystal Palace',38,12,9,17,45, nan,36,46, -10]
[14, 'Crystal Palace',38,10,10,18,40, nan,38,50, -12]
[10, 'Crystal Palace',38,11,13,14,46, nan,39,40, -1]
[15, 'Crystal Palace',38,10,13,15,43, nan,38,53, -15]
[8, 'Crystal Palace',38,14,11,13,53, nan,46,44, 2]
[17, 'Crystal Palace',38,8,14,16,38, nan,37,48, -11]
[11, 'Crystal Palace',38,11,13,14,46, nan,36,41, -5]
[13, 'Crystal Palace',38,12,9,17,45, nan,40,50, -10]
[12, 'Crystal Palace',38,13,10,15,49, nan,39,49, -10]
[9, 'Crystal Palace',38,16,10,12,58, nan,43,42, 1]
[8, 'Crystal Palace',38,13,16,9,55, nan,46,43, 3]
[13, 'Crystal Palace',38,13,10,15,49, nan,39,45, -6]
[14, 'Crystal Palace',38,10,12,16,42, nan,37,48, -11]
[10, 'Crystal Palace',38,15,8,15,53, nan,41,43, -2]
[8, 'Crystal Palace',38,15,13,10,58, nan,41,35, 6]
[8, 'Crystal Palace',38,15,15,8,60, nan,43,35, 8]
[12, 'Crystal Palace',38,12,10,16,46, nan,39,48, -9]
[11, 'Crystal Palace',38,12,12,14,48, nan,40,43, -3]
[11, 'Crystal Palace',38,13,12,13,51, nan,42,43, -1]
[11, 'Crystal Palace',38,12,12,14,48, nan,42,46, -4]
[9, 'Crystal Palace',38,15,10,13,55, nan,41,39, 2]
[10, 'Crystal Palace',38,13,13,12,52, nan,40,40, 0]
[12, 'Crystal Palace',38,14,10,14,52, nan,37,40, -3]
[8, 'Crystal Palace',38,17,9,12,60, nan,47,42, 5]
[8, 'Crystal Palace',38,14,15,9,57, nan,41,40, 1]
[16, 'Crystal Palace',38,8,11,19,35, nan,36,54, -18]
[9, 'Crystal Palace',38,14,10,14,52, nan,39,42, -3]
[12, 'Crystal Palace',38,12,10,16,46, nan,37,46, -9]
[12, 'Crystal Palace',38,10,12,16,42, nan,41,56, -15]
[9, 'Crystal Palace',38,15,11,12,56, nan,42,40, 2]
[14, 'Crystal Palace',38,10,15,13,45, nan,43,44, -1]
[10, 'Crystal Palace',38,15,10,13,55, nan,40,40, 0]
[10, 'Crystal Palace',38,13,12,13,51, nan,41,41, 0]
[8, 'Crystal Palace',38,15,12,11,57, nan,42,38, 4]
[11, 'Crystal Palace',38,13,13,12,52, nan,42,43, -1]
[11, 'Crystal Palace',38,11,15,12,48, nan,41,46, -5]
[10, 'Crystal Palace',38,12,14,12,50, nan,40,43, -3]
[9, 'Crystal Palace',38,14,12,12,54, nan,41,41, 0]
[14, 'Crystal Palace',38,10,13,15,43, nan,38,45, -7]
[13, 'Crystal Palace',38,12,9,17,45, nan,36,44, -8]
[13, 'Crystal Palace',38,11,11,16,44, nan,42,52, -10]
[11, 'Crystal Palace',38,12,10,16,46, nan,43,49, -6]
[10, 'Crystal Palace',38,14,10,14,52, nan,42,45, -3]
[14, 'Crystal Palace',38,9,13,16,40, nan,38,49, -11]
[11, 'Crystal Palace',38,12,12,14,48, nan,40,45, -5]
[13, 'Crystal Palace',38,11,12,15,45, nan,38,44, -6]
[11, 'Crystal Palace',38,13,12,13,51, nan,42,43, -1]
[11, 'Crystal Palace',38,12,12,14,48, nan,44,46, -2]
[8, 'Crystal Palace',38,14,14,10,56, nan,40,39, 1]
[10, 'Crystal Palace',38,16,10,12,58, nan,41,39, 2]
[11, 'Crystal Palace',38,13,8,17,47, nan,44,53, -9]
[8, 'Crystal Palace',38,15,13,10,58, nan,47,45, 2]
[10, 'Crystal Palace',38,13,12,13,51, nan,40,42, -2]
[10, 'Crystal Palace',38,13,12,13,51, nan,42,43, -1]
[9, 'Crystal Palace',38,13,13,12,52, nan,42,46, -4]
[8, 'Crystal Palace',38,14,11,13,53, nan,45,43, 2]
[8, 'Crystal Palace',38,17,8,13,59, nan,47,47, 0]
[12, 'Crystal Palace',38,11,15,12,48, nan,42,45, -3]
[13, 'Crystal Palace',38,9,14,15,41, nan,39,49, -10]
[8, 'Crystal Palace',38,16,8,14,56, nan,43,42, 1]
[10, 'Crystal Palace',38,13,11,14,50, nan,41,45, -4]
[10, 'Crystal Palace',38,12,13,13,49, nan,40,47, -7]
[17, 'Crystal Palace',38,8,11,19,35, nan,35,50, -15]
[12, 'Crystal Palace',38,11,13,14,46, nan,41,47, -6]
[13, 'Crystal Palace',38,10,15,13,45, nan,40,41, -1]
[11, 'Crystal Palace',38,12,12,14,48, nan,42,48, -6]
[10, 'Crystal Palace',38,12,14,12,50, nan,41,41, 0]
[13, 'Crystal Palace',38,11,10,17,43, nan,36,46, -10]
[11, 'Crystal Palace',38,10,16,12,46, nan,44,47, -3]
[10, 'Crystal Palace',38,13,12,13,51, nan,44,48, -4]
[11, 'Crystal Palace',38,12,9,17,45, nan,42,48, -6]
[14, 'Crystal Palace',38,10,10,18,40, nan,38,51, -13]
[9, 'Crystal Palace',38,15,9,14,54, nan,40,40, 0]
[10, 'Crystal Palace',38,13,14,11,53, nan,40,41, -1]
[9, 'Crystal Palace',38,13,12,13,51, nan,42,43, -1]
[13, 'Crystal Palace',38,12,9,17,45, nan,42,52, -10]
[12, 'Crystal Palace',38,11,13,14,46, nan,39,43, -4]
[17, 'Crystal Palace',38,8,12,18,36, nan,37,51, -14]
[12, 'Crystal Palace',38,10,17,11,47, nan,38,41, -3]
[14, 'Crystal Palace',38,10,11,17,41, nan,37,50, -13]
[11, 'Crystal Palace',38,13,11,14,50, nan,41,42, -1]
[11, 'Crystal Palace',38,11,13,14,46, nan,36,41, -5]
[10, 'Crystal Palace',38,15,10,13,55, nan,39,40, -1]
[11, 'Crystal Palace',38,12,15,11,51, nan,38,36, 2]
[12, 'Crystal Palace',38,10,16,12,46, nan,42,48, -6]
[13, 'Crystal Palace',38,9,17,12,44, nan,41,44, -3]
[14, 'Crystal Palace',38,11,8,19,41, nan,35,50, -15]
[12, 'Crystal Palace',38,10,17,11,47, nan,40,45, -5]
[13, 'Crystal Palace',38,11,9,18,42, nan,39,49, -10]
[10, 'Crystal Palace',38,14,11,13,53, nan,40,44, -4]
[10, 'Crystal Palace',38,14,12,12,54, nan,42,43, -1]
[10, 'Crystal Palace',38,11,15,12,48, nan,43,47, -4]
[9, 'Crystal Palace',38,13,12,13,51, nan,41,43, -2]
[11, 'Crystal Palace',38,13,9,16,48, nan,40,45, -5]
[11, 'Crystal Palace',38,12,11,15,47, nan,39,43, -4]
[14, 'Crystal Palace',38,11,8,19,41, nan,42,55, -13]
[9, 'Crystal Palace',38,15,10,13,55, nan,39,38, 1]
[10, 'Crystal Palace',38,13,10,15,49, nan,43,46, -3]
[16, 'Crystal Palace',38,9,12,17,39, nan,37,50, -13]
[12, 'Crystal Palace',38,12,10,16,46, nan,39,49, -10]
[7, 'Crystal Palace',38,17,9,12,60, nan,43,39, 4]
[11, 'Crystal Palace',38,13,12,13,51, nan,44,49, -5]
[12, 'Crystal Palace',38,11,13,14,46, nan,41,46, -5]
[13, 'Crystal Palace',38,11,14,13,47, nan,42,49, -7]
[9, 'Crystal Palace',38,14,12,12,54, nan,42,39, 3]
[9, 'Crystal Palace',38,14,10,14,52, nan,47,53, -6]
[8, 'Crystal Palace',38,17,9,12,60, nan,40,34, 6]
[13, 'Crystal Palace',38,11,12,15,45, nan,38,51, -13]
[16, 'Crystal Palace',38,8,12,18,36, nan,38,57, -19]
[14, 'Crystal Palace',38,11,8,19,41, nan,37,49, -12]
[13, 'Crystal Palace',38,12,12,14,48, nan,42,45, -3]
[12, 'Crystal Palace',38,11,14,13,47, nan,39,43, -4]
[10, 'Crystal Palace',38,12,12,14,48, nan,42,46, -4]
[13, 'Crystal Palace',38,9,16,13,43, nan,38,51, -13]
[13, 'Crystal Palace',38,12,10,16,46, nan,38,43, -5]
[8, 'Crystal Palace',38,15,13,10,58, nan,40,35, 5]
[12, 'Crystal Palace',38,11,12,15,45, nan,41,49, -8]
[13, 'Crystal Palace',38,12,12,14,48, nan,40,40, 0]
[11, 'Crystal Palace',38,12,12,14,48, nan,40,45, -5]
[10, 'Crystal Palace',38,13,11,14,50, nan,43,45, -2]
[9, 'Crystal Palace',38,17,6,15,57, nan,43,39, 4]
[11, 'Crystal Palace',38,11,14,13,47, nan,42,45, -3]
[15, 'Crystal Palace',38,7,16,15,37, nan,35,47, -12]
[15, 'Crystal Palace',38,10,11,17,41, nan,37,49, -12]
[8, 'Crystal Palace',38,13,17,8,56, nan,41,39, 2]
[10, 'Crystal Palace',38,13,12,13,51, nan,41,41, 0]
[12, 'Crystal Palace',38,11,11,16,44, nan,43,53, -10]
[15, 'Crystal Palace',38,10,9,19,39, nan,38,48, -10]
[13, 'Crystal Palace',38,10,15,13,45, nan,37,41, -4]
[11, 'Crystal Palace',38,13,11,14,50, nan,40,39, 1]
[9, 'Crystal Palace',38,14,15,9,57, nan,41,37, 4]
