Column1,
,
Mean,4.03030303
Standard Error,0.444846008
Median,3
Mode,3
Standard Deviation,2.55544576
Sample Variance,6.53030303
Kurtosis,1.099054265
Skewness,1.255868251
Range,10
Minimum,1
Maximum,11
Sum,133
Count,33
