Team,Opponent,Home/Away,Possession,Fouls,Yellow Cards,Red Cards,Passes,Shots,On Target,Goals,Allowed,Result
Leeds,Everton,Home,69.6,10,3,0,637,14,5,1,1,D
Everton,Leeds,Away,30.4,9,3,0,282,7,2,1,1,D
Bournemouth,Wolves,Home,34,12,2,0,316,5,2,0,0,D
Wolves,Bournemouth,Away,66,12,1,0,594,17,4,0,0,D
Arsenal,Aston Villa,Home,59.6,10,2,0,504,22,9,2,1,W
Aston Villa,Arsenal,Away,40.4,14,3,0,341,4,3,1,2,L
Manchester City,Nottingham,Home,75.4,9,0,0,776,17,9,6,0,W
Nottingham,Manchester City,Away,24.6,7,1,0,250,8,1,0,6,L
West Ham,Spurs,Home,38.2,10,2,0,366,14,4,1,1,D
Spurs,West Ham,Away,61.8,9,5,0,619,13,4,1,1,D
Liverpool,Newcastle,Home,71.8,9,0,0,624,23,6,2,1,W
Newcastle,Liverpool,Away,28.2,10,2,0,255,5,2,1,2,L
Leicester,Manchester United,Home,53.9,7,1,0,595,10,2,0,1,L
Manchester United,Leicester,Away,46.1,15,3,0,513,9,2,1,0,W
Everton,Liverpool,Home,39.1,7,2,0,302,14,3,0,0,D
Liverpool,Everton,Away,60.9,11,2,0,469,23,8,0,0,D
Brentford,Leeds,Home,31.1,8,2,0,218,14,8,5,2,W
Leeds,Brentford,Away,68.9,9,2,0,488,17,6,2,5,L
Chelsea,West Ham,Home,68.1,6,4,0,661,8,3,2,1,W
West Ham,Chelsea,Away,31.9,11,2,0,308,6,3,1,2,L
Newcastle,Crystal Palace,Home,51.7,19,2,0,359,23,6,0,0,D
Crystal Palace,Newcastle,Away,48.3,12,1,0,362,19,9,0,0,D
Nottingham,Bournemouth,Home,52.7,13,2,0,486,11,3,2,3,L
Bournemouth,Nottingham,Away,47.3,10,1,0,442,8,3,3,2,W
Spurs,Fulham,Home,51.9,9,3,0,475,23,10,2,1,W
Fulham,Spurs,Away,48.1,6,4,0,433,9,3,1,2,L
Wolves,Southampton,Home,50.8,10,4,0,432,7,2,1,0,W
Southampton,Wolves,Away,49.2,14,2,0,406,12,1,0,1,L
Aston Villa,Manchester City,Home,27.7,7,2,0,287,3,1,1,1,D
Manchester City,Aston Villa,Away,72.3,6,0,0,763,13,4,1,1,D
Brighton,Leicester,Home,53.5,6,1,0,493,23,11,5,2,W
Leicester,Brighton,Away,46.5,8,1,0,436,6,4,2,5,L
Manchester United,Arsenal,Home,39.5,13,3,0,310,10,6,3,1,W
Arsenal,Manchester United,Away,60.5,9,3,0,465,16,3,1,3,L
Nottingham,Fulham,Home,40.8,11,2,0,375,11,3,2,3,L
Fulham,Nottingham,Away,59.2,10,4,0,555,15,7,3,2,W
Aston Villa,Southampton,Home,52.7,13,3,0,420,11,3,1,0,W
Southampton,Aston Villa,Away,47.3,13,1,0,376,7,1,0,1,L
Wolves,Manchester City,Home,40.8,7,2,1,422,6,1,0,3,L
Manchester City,Wolves,Away,59.2,9,1,0,622,16,7,3,0,W
Newcastle,Bournemouth,Home,72.4,10,2,0,643,20,7,1,1,D
Bournemouth,Newcastle,Away,27.6,11,2,0,245,10,3,1,1,D
Spurs,Leicester,Home,43.7,9,1,0,482,16,11,6,2,W
Leicester,Spurs,Away,56.3,9,2,0,632,19,7,2,6,L
Brentford,Arsenal,Home,36.1,10,0,0,321,5,2,0,3,L
Arsenal,Brentford,Away,63.9,10,2,0,592,13,7,3,0,W
Everton,West Ham,Home,53.6,8,3,0,464,7,2,1,0,W
West Ham,Everton,Away,46.4,11,1,0,388,14,4,0,1,L
Arsenal,Spurs,Home,64.7,10,2,0,565,22,9,3,1,W
Spurs,Arsenal,Away,35.3,10,1,1,307,7,3,1,3,L
Bournemouth,Brentford,Home,42,11,1,0,375,7,1,0,0,D
Brentford,Bournemouth,Away,58,10,2,0,530,13,4,0,0,D
Crystal Palace,Chelsea,Home,36,11,1,0,348,7,3,1,2,L
Chelsea,Crystal Palace,Away,64,13,3,0,635,13,3,2,1,W
Fulham,Newcastle,Home,31.7,9,2,1,281,3,1,1,4,L
Newcastle,Fulham,Away,68.3,10,0,0,605,19,10,4,1,W
Liverpool,Brighton,Home,53.8,9,1,0,530,15,7,3,3,D
Brighton,Liverpool,Away,46.2,13,1,0,460,6,6,3,3,D
Southampton,Everton,Home,54.2,11,2,0,445,22,6,1,2,L
Everton,Southampton,Away,45.8,10,2,0,380,12,5,2,1,W
West Ham,Wolves,Home,39.1,8,2,0,372,18,5,2,0,W
Wolves,West Ham,Away,60.9,6,2,0,564,15,4,0,2,L
Manchester City,Manchester United,Home,53.9,3,0,0,551,22,10,6,3,W
Manchester United,Manchester City,Away,46.1,9,3,0,476,12,8,3,6,L
Leeds,Aston Villa,Home,43.8,23,3,1,375,6,1,0,0,D
Aston Villa,Leeds,Away,56.2,12,2,0,479,19,7,0,0,D
Leicester,Nottingham,Home,51.6,13,2,0,492,17,7,4,0,W
Nottingham,Leicester,Away,48.4,12,4,0,464,10,3,0,4,L
Bournemouth,Leicester,Home,44.2,8,1,0,424,10,4,2,1,W
Leicester,Bournemouth,Away,55.8,16,2,0,551,9,5,1,2,L
Chelsea,Wolves,Home,57.4,8,2,0,591,20,7,3,0,W
Wolves,Chelsea,Away,42.6,8,0,0,431,8,2,0,3,L
Manchester City,Southampton,Home,65.2,4,0,0,744,21,8,4,0,W
